sample,forward,reverse
C156,X204SC21021793-Z01-F001_4/raw_data/C156/C156_FSFP210076144-1r_HVKY7DSXY_L4_1.fq.gz,X204SC21021793-Z01-F001_4/raw_data/C156/C156_FSFP210076144-1r_HVKY7DSXY_L4_2.fq.gz
A07,X204SC21021793-Z01-F001_4/raw_data/A07/A07_FSFP210076115-1a_HVJWGDSXY_L4_1.fq.gz,X204SC21021793-Z01-F001_4/raw_data/A07/A07_FSFP210076115-1a_HVJWGDSXY_L4_2.fq.gz
C162,X204SC21021793-Z01-F001_4/raw_data/C162/C162_FSFP210076150-1r_HVKY7DSXY_L4_1.fq.gz,X204SC21021793-Z01-F001_4/raw_data/C162/C162_FSFP210076150-1r_HVKY7DSXY_L4_2.fq.gz
C199,X204SC21021793-Z01-F001_4/raw_data/C199/C199_FSFP210076175-1r_HVNFFDSXY_L1_1.fq.gz,X204SC21021793-Z01-F001_4/raw_data/C199/C199_FSFP210076175-1r_HVNFFDSXY_L1_2.fq.gz
C147,X204SC21021793-Z01-F001_4/raw_data/C147/C147_FSFP210076135-1r_HVKY7DSXY_L4_1.fq.gz,X204SC21021793-Z01-F001_4/raw_data/C147/C147_FSFP210076135-1r_HVKY7DSXY_L4_2.fq.gz
C152,X204SC21021793-Z01-F001_4/raw_data/C152/C152_FSFP210076140-1r_HVNFFDSXY_L1_1.fq.gz,X204SC21021793-Z01-F001_4/raw_data/C152/C152_FSFP210076140-1r_HVNFFDSXY_L1_2.fq.gz
A16,X204SC21021793-Z01-F001_4/raw_data/A16/A16_FSFP210076124-1r_HVKY7DSXY_L4_1.fq.gz,X204SC21021793-Z01-F001_4/raw_data/A16/A16_FSFP210076124-1r_HVKY7DSXY_L4_2.fq.gz
A05,X204SC21021793-Z01-F001_4/raw_data/A05/A05_FSFP210076113-1a_HVJWGDSXY_L4_1.fq.gz,X204SC21021793-Z01-F001_4/raw_data/A05/A05_FSFP210076113-1a_HVJWGDSXY_L4_2.fq.gz
C206,X204SC21021793-Z01-F001_4/raw_data/C206/C206_FSFP210076182-1b_HVJWYDSXY_L4_1.fq.gz,X204SC21021793-Z01-F001_4/raw_data/C206/C206_FSFP210076182-1b_HVJWYDSXY_L4_2.fq.gz
C175,X204SC21021793-Z01-F001_4/raw_data/C175/C175_FSFP210076163-1r_HVKY7DSXY_L2_1.fq.gz,X204SC21021793-Z01-F001_4/raw_data/C175/C175_FSFP210076163-1r_HVKY7DSXY_L2_2.fq.gz
A09,X204SC21021793-Z01-F001_5/raw_data/A09/A09_FSFP210076117-1r_HVKY7DSXY_L4_1.fq.gz,X204SC21021793-Z01-F001_5/raw_data/A09/A09_FSFP210076117-1r_HVKY7DSXY_L4_2.fq.gz
C204,X204SC21021793-Z01-F001_5/raw_data/C204/C204_FSFP210076180-1r_HVKY7DSXY_L2_1.fq.gz,X204SC21021793-Z01-F001_5/raw_data/C204/C204_FSFP210076180-1r_HVKY7DSXY_L2_2.fq.gz
